Class,Species,Stage,Abundance,Size min (um),Size max(um),Size_min_mm,Size_max_mm,bodymass min(ugC.ind-1),bodymass max(ugC.ind-1),REF,Biomass min(ugC),Biomass max (ugC),Somme biomass per species(ugC),,Group,Respiration per stage (pgC.d-1),,Res_spe_max (pgC.d-1),Res_spe_min (pgC.d-1),,,,Res_group(pgC.m-2.d-1),,Res_group(gC.m-2.m-1),,,,14W-0.25*e0.0693*(T-20)*biomass,,,"Meloney and Field, 1989  table4"
LW,Microcalanus,Total,14301.82,,,,,,,,,,1.05E+04,1.75E+04,,#DIV/0!,#DIV/0!,1.91E+09,1.00E+09,,,,,,,,,,,,,
LW,Oithona similis,Ci,143.67,200.00,240.00,0.20,0.24,8.84E-02,1.31E-01,"Sabatini & Kiorbe, 1994",1.27E+01,1.88E+01,,,Omnivorous,3.53E+06,2.16E+06,,,,,,,,,,,,,,,
LW,Oithona similis,Cii,788.03,240.00,280.00,0.24,0.28,1.31E-01,1.83E-01,,1.03E+02,1.44E+02,,,Omnivorous,2.44E+07,1.61E+07,,,,,,,,,,,,,,,
LW,Oithona similis,Ciii,1061.22,280.00,320.00,0.28,0.32,1.83E-01,2.44E-01,,1.94E+02,2.59E+02,,,Omnivorous,4.04E+07,2.82E+07,,,,,,,,,,,,,,,
LW,Oithona similis,CiV,2676.46,320.00,360.00,0.32,0.36,2.44E-01,3.15E-01,,6.53E+02,8.42E+02,,,Omnivorous,1.22E+08,8.90E+07,,,,,,,,,,,,,,,
LW,Oithona similis,CV,7560.49,400.00,400.00,0.40,0.40,3.95E-01,3.95E-01,,2.99E+03,2.99E+03,,,Omnivorous,3.85E+08,3.85E+08,,,,,,,,,,,,,,,
LW,Oithona similis,F,24723.07,420.00,500.00,0.42,0.50,4.39E-01,6.40E-01,,1.09E+04,1.58E+04,,,Omnivorous,1.98E+09,1.24E+09,,,,,,,,,,,,,,,
LW,Oithona similis,M,3173.88,380.00,420.00,0.38,0.42,3.54E-01,4.39E-01,,1.12E+03,1.39E+03,,,Omnivorous,1.84E+08,1.41E+08,,,,,,,,,,,,,,,
LW,Oithona similis,Total,40126.82,,,,,,,,,,1.59E+04,2.15E+04,,#DIV/0!,#DIV/0!,2.74E+09,1.90E+09,,,,,,,,,,,,,
LW,Oncaea notopus/parila,F,994.83,400.00,540.00,0.40,0.54,4.90E-01,1.27E+00,"Hopcroft et al., 2005",4.88E+02,1.26E+03,4.88E+02,1.26E+03,Omnivorous,1.54E+08,4.69E+07,5.78E+07,1.18E+08,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,Ci,428.84,1080.00,1080.00,1.08,1.08,4.79E+00,4.79E+00,"Mumm, 1991",2.06E+03,2.06E+03,,,Carnivorous,1.42E+08,1.42E+08,,,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,Cii,516.14,1500.00,1500.00,1.50,1.50,1.40E+01,1.40E+01,,7.25E+03,7.25E+03,,,Carnivorous,3.82E+08,3.82E+08,,,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,Ciii,217.08,1190.00,1355.00,1.19,1.36,6.58E+00,1.01E+01,,1.43E+03,2.19E+03,,,Carnivorous,1.39E+08,8.19E+07,,,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,CiV,69.79,3480.00,4485.00,3.48,4.49,2.21E+02,5.07E+02,,1.54E+04,3.54E+04,,,Carnivorous,9.37E+08,3.32E+08,,,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,CV,16.76,3700.00,4720.00,3.70,4.72,2.70E+02,5.99E+02,,4.53E+03,1.00E+04,,,Carnivorous,2.53E+08,9.34E+07,,,,,,,,,,,,,,,
LW,Paraeuchaeta spp.,Total,1248.61,,,,,,,,,,3.07E+04,4.76E+04,,#DIV/0!,#DIV/0!,1.85E+09,5.07E+08,,,,,,,,,,,,,
LW,Polychaete larva,NA,389.33,,,,,6.07E+00,6.07E+00,"Uye, 1982",2.36E+03,2.36E+03,2.36E+03,2.36E+03,Omnivorous,1.54E+08,1.54E+08,1.54E+08,1.54E+08,,,,,,,,,,,,,
LW,Pseudocalanus spp.,Ci,1851.43,450.00,450.00,0.45,0.45,3.91E-01,3.91E-01,"Liu & hopcroft, 2008",7.24E+02,7.24E+02,,,Omnivorous,9.34E+07,9.34E+07,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,Cii,1769.80,600.00,600.00,0.60,0.60,8.87E-01,8.87E-01,,1.57E+03,1.57E+03,,,Omnivorous,1.65E+08,1.65E+08,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,Ciii,1480.27,666.67,786.67,0.67,0.79,1.20E+00,1.92E+00,,1.77E+03,2.84E+03,,,Omnivorous,2.77E+08,1.54E+08,,,,,,,,,,,,,,,
LW,Pseudocalanus spp.,CiV,137.14,786.67,900.00,0.79,0.90,1.92E+00,2.82E+00,,2.63E+02,3.86E+02,,,Omnivorous,3.35E+07,2.07E+07,,,,,,,,,,,,,,,
